French,English
partie,part
histoire,history
seulement,only
demande,request
mois,month
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
aucune,any
parle,speak
compris,understood
étaient,were
attention,Warning
voici,here is
donner,give
type,type
train,train
corps,body
yeux,eyes
façon,way
trouve,find
perdu,lost
première,first
vieux,old
sois,be
tiens,here
tellement,so much
enfant,child
point,point
suite,after
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aujourd'hui,today
cause,cause
enfin,finally
espère,hope
attendez,Wait
parti,left
nouvelle,new
boulot,job
dirait,would say
terre,Earth
compte,account
donne,given
fin,end
croire,believe
chérie,sweetheart
plutôt,rather
aura,will have
jouer,to play
bureau,office
